"clientId,""timeStamp"",""humidity"",""temperature"""
"Raspberry_Device_1,""1757340545"",""38"",""24.1"""
"Raspberry_Device_1,""1757340613"",""38"",""24.1"""
"Raspberry_Device_1,""1757340687"",""38"",""24.1"""
"Raspberry_Device_1,""1757340781"",""38"",""24.1"""
"Raspberry_Device_1,""1757340860"",""38"",""24.1"""
"Raspberry_Device_1,""1757340971"",""38"",""24.1"""
"Raspberry_Device_1,""1757341044"",""38"",""24.1"""
"Raspberry_Device_1,""1757341123"",""37.75"",""24.1"""
"Raspberry_Device_1,""1757341213"",""37"",""24.1"""
"Raspberry_Device_1,""1757341286"",""37"",""24.1"""
"Raspberry_Device_1,""1757341354"",""37"",""24.1"""
"Raspberry_Device_1,""1757341433"",""37"",""24.1"""
"Raspberry_Device_1,""1757341496"",""37"",""24.1"""
"Raspberry_Device_1,""1757341570"",""37"",""24.1"""
"Raspberry_Device_1,""1757341633"",""37"",""24.1"""
"Raspberry_Device_1,""1757341701"",""37"",""24.1"""
"Raspberry_Device_1,""1757341775"",""37"",""24.1"""
"Raspberry_Device_1,""1757341849"",""37"",""24.1"""
"Raspberry_Device_1,""1757341933"",""37"",""24.1"""
"Raspberry_Device_1,""1757342022"",""37"",""24.1"""
"Raspberry_Device_1,""1757342106"",""37"",""24.1"""
"Raspberry_Device_1,""1757342369"",""36.83"",""24.1"""
"Raspberry_Device_1,""1757342453"",""36.5"",""24.1"""
"Raspberry_Device_1,""1757342532"",""36"",""24.1"""
"Raspberry_Device_1,""1757342606"",""36.25"",""24.1"""
"Raspberry_Device_1,""1757342679"",""37"",""24.1"""
"Raspberry_Device_1,""1757342763"",""37"",""24.1"""
"Raspberry_Device_1,""1757342847"",""37"",""24.1"""
"Raspberry_Device_1,""1757342921"",""36.5"",""24.1"""
"Raspberry_Device_1,""1757342984"",""36"",""24.1"""
"Raspberry_Device_1,""1757343063"",""36"",""24.1"""
"Raspberry_Device_1,""1757343131"",""36"",""24.1"""
"Raspberry_Device_1,""1757343226"",""36"",""24.1"""
"Raspberry_Device_1,""1757343310"",""36"",""24.1"""
"Raspberry_Device_1,""1757343405"",""36"",""24.1"""
"Raspberry_Device_1,""1757343484"",""36"",""24.1"""
"Raspberry_Device_1,""1757343562"",""36"",""24.1"""
"Raspberry_Device_1,""1757343647"",""37"",""24.1"""
"Raspberry_Device_1,""1757343731"",""36.5"",""24.1"""
"Raspberry_Device_1,""1757343815"",""37"",""24.1"""
"Raspberry_Device_1,""1757343899"",""37"",""24.1"""
"Raspberry_Device_1,""1757343973"",""37"",""24.1"""
"Raspberry_Device_1,""1757344057"",""37"",""24.1"""
"Raspberry_Device_1,""1757344130"",""37"",""24.1"""
"Raspberry_Device_1,""1757344230"",""37"",""24.1"""
"Raspberry_Device_1,""1757344309"",""37"",""24.1"""
"Raspberry_Device_1,""1757344388"",""37"",""24.1"""
"Raspberry_Device_1,""1757344467"",""37"",""24.1"""
"Raspberry_Device_1,""1757350618"",""38"",""24.1"""
"Raspberry_Device_1,""1757350681"",""38"",""24.1"""
"Raspberry_Device_1,""1757350754"",""38"",""24.1"""
"Raspberry_Device_1,""1757350844"",""38"",""24.1"""
"Raspberry_Device_1,""1757350933"",""38"",""24.1"""
"Raspberry_Device_1,""1757351012"",""38"",""24.1"""
"Raspberry_Device_1,""1757350554"",""38"",""24.08"""
"Raspberry_Device_1,""1757351175"",""38"",""24.07"""
"Raspberry_Device_1,""1757316215"",""47.25"",""23.99"""
"Raspberry_Device_1,""1757351259"",""38"",""23.94"""
"Raspberry_Device_1,""1757344540"",""37"",""23.92"""
"Raspberry_Device_1,""1757324053"",""36.58"",""23.9"""
"Raspberry_Device_1,""1757350486"",""38"",""23.88"""
"Raspberry_Device_1,""1757340187"",""37.67"",""23.87"""
"Raspberry_Device_1,""1757351080"",""38"",""23.85"""
"Raspberry_Device_1,""1757315611"",""48"",""23.8"""
"Raspberry_Device_1,""1757315689"",""48"",""23.8"""
"Raspberry_Device_1,""1757315784"",""48"",""23.8"""
"Raspberry_Device_1,""1757315863"",""48"",""23.8"""
"Raspberry_Device_1,""1757315931"",""48"",""23.8"""
"Raspberry_Device_1,""1757316010"",""47.75"",""23.8"""
"Raspberry_Device_1,""1757316079"",""47.17"",""23.8"""
"Raspberry_Device_1,""1757316142"",""47"",""23.8"""
"Raspberry_Device_1,""1757336902"",""38"",""23.8"""
"Raspberry_Device_1,""1757336970"",""38"",""23.8"""
"Raspberry_Device_1,""1757337054"",""38"",""23.8"""
"Raspberry_Device_1,""1757337143"",""37.83"",""23.8"""
"Raspberry_Device_1,""1757337222"",""37.08"",""23.8"""
"Raspberry_Device_1,""1757337301"",""38"",""23.8"""
"Raspberry_Device_1,""1757337380"",""38"",""23.8"""
"Raspberry_Device_1,""1757337454"",""38"",""23.8"""
"Raspberry_Device_1,""1757337527"",""37.33"",""23.8"""
"Raspberry_Device_1,""1757337611"",""37"",""23.8"""
"Raspberry_Device_1,""1757337706"",""37"",""23.8"""
"Raspberry_Device_1,""1757337790"",""36.67"",""23.8"""
"Raspberry_Device_1,""1757339578"",""36"",""23.8"""
"Raspberry_Device_1,""1757339667"",""36.42"",""23.8"""
"Raspberry_Device_1,""1757339740"",""37"",""23.8"""
"Raspberry_Device_1,""1757339835"",""37"",""23.8"""
"Raspberry_Device_1,""1757339946"",""37"",""23.8"""
"Raspberry_Device_1,""1757340014"",""37"",""23.8"""
"Raspberry_Device_1,""1757340098"",""37"",""23.8"""
"Raspberry_Device_1,""1757344614"",""37"",""23.8"""
"Raspberry_Device_1,""1757344698"",""37"",""23.8"""
"Raspberry_Device_1,""1757344777"",""37"",""23.8"""
"Raspberry_Device_1,""1757347721"",""38"",""23.8"""
"Raspberry_Device_1,""1757347821"",""38"",""23.8"""
"Raspberry_Device_1,""1757347889"",""38"",""23.8"""
"Raspberry_Device_1,""1757347978"",""38"",""23.8"""
"Raspberry_Device_1,""1757348068"",""38"",""23.8"""
"Raspberry_Device_1,""1757348141"",""38"",""23.8"""
"Raspberry_Device_1,""1757348226"",""38"",""23.8"""
"Raspberry_Device_1,""1757348294"",""38"",""23.8"""
"Raspberry_Device_1,""1757348378"",""38"",""23.8"""
"Raspberry_Device_1,""1757348462"",""38"",""23.8"""
"Raspberry_Device_1,""1757348541"",""38"",""23.8"""
"Raspberry_Device_1,""1757348615"",""38"",""23.8"""
"Raspberry_Device_1,""1757348693"",""38"",""23.8"""
"Raspberry_Device_1,""1757348778"",""38"",""23.8"""
"Raspberry_Device_1,""1757348856"",""38"",""23.8"""
"Raspberry_Device_1,""1757348946"",""38"",""23.8"""
"Raspberry_Device_1,""1757349030"",""38"",""23.8"""
"Raspberry_Device_1,""1757349098"",""38"",""23.8"""
"Raspberry_Device_1,""1757349177"",""38"",""23.8"""
"Raspberry_Device_1,""1757349245"",""38"",""23.8"""
"Raspberry_Device_1,""1757349324"",""38"",""23.8"""
"Raspberry_Device_1,""1757349414"",""38"",""23.8"""
"Raspberry_Device_1,""1757349492"",""38"",""23.8"""
"Raspberry_Device_1,""1757349571"",""38"",""23.8"""
"Raspberry_Device_1,""1757349645"",""38"",""23.8"""
"Raspberry_Device_1,""1757349719"",""38"",""23.8"""
"Raspberry_Device_1,""1757349787"",""38"",""23.8"""
"Raspberry_Device_1,""1757349850"",""38"",""23.8"""
"Raspberry_Device_1,""1757349924"",""38"",""23.8"""
"Raspberry_Device_1,""1757350008"",""38"",""23.8"""
"Raspberry_Device_1,""1757350092"",""38"",""23.8"""
"Raspberry_Device_1,""1757350165"",""38"",""23.8"""
"Raspberry_Device_1,""1757350239"",""38"",""23.8"""
"Raspberry_Device_1,""1757350313"",""38"",""23.8"""
"Raspberry_Device_1,""1757350402"",""38"",""23.8"""
"Raspberry_Device_1,""1757351343"",""38"",""23.8"""
"Raspberry_Device_1,""1757351417"",""38"",""23.8"""
"Raspberry_Device_1,""1757351506"",""38"",""23.8"""
"Raspberry_Device_1,""1757351574"",""38"",""23.8"""
"Raspberry_Device_1,""1757351653"",""38"",""23.8"""
"Raspberry_Device_1,""1757351758"",""38"",""23.8"""
"Raspberry_Device_1,""1757351842"",""38"",""23.8"""
"Raspberry_Device_1,""1757351921"",""38"",""23.8"""
"Raspberry_Device_1,""1757352000"",""38"",""23.8"""
"Raspberry_Device_1,""1757352074"",""38"",""23.8"""
"Raspberry_Device_1,""1757352153"",""38"",""23.8"""
"Raspberry_Device_1,""1757352221"",""38"",""23.8"""
"Raspberry_Device_1,""1757352289"",""38"",""23.8"""
"Raspberry_Device_1,""1757352373"",""38"",""23.8"""
"Raspberry_Device_1,""1757352452"",""38"",""23.8"""
"Raspberry_Device_1,""1757352531"",""38"",""23.8"""
"Raspberry_Device_1,""1757347637"",""38"",""23.79"""
"Raspberry_Device_1,""1757336828"",""38"",""23.74"""
"Raspberry_Device_1,""1757344845"",""37"",""23.65"""
"Raspberry_Device_1,""1757352610"",""38"",""23.61"""
"Raspberry_Device_1,""1757339483"",""36"",""23.54"""
"Raspberry_Device_1,""1757324138"",""37"",""23.53"""
"Raspberry_Device_1,""1757344924"",""37.25"",""23.44"""
"Raspberry_Device_1,""1757315542"",""48"",""23.43"""
"Raspberry_Device_1,""1757337858"",""35.17"",""23.43"""
"Raspberry_Device_1,""1757347568"",""38"",""23.41"""
"Raspberry_Device_1,""1757315064"",""48"",""23.4"""
"Raspberry_Device_1,""1757315159"",""48"",""23.4"""
"Raspberry_Device_1,""1757315222"",""48"",""23.4"""
"Raspberry_Device_1,""1757315306"",""48"",""23.4"""
"Raspberry_Device_1,""1757315379"",""48"",""23.4"""
"Raspberry_Device_1,""1757315458"",""48"",""23.4"""
"Raspberry_Device_1,""1757327839"",""37"",""23.4"""
"Raspberry_Device_1,""1757327928"",""37"",""23.4"""
"Raspberry_Device_1,""1757327996"",""37"",""23.4"""
"Raspberry_Device_1,""1757328096"",""37"",""23.4"""
"Raspberry_Device_1,""1757335945"",""38"",""23.4"""
"Raspberry_Device_1,""1757336034"",""38"",""23.4"""
"Raspberry_Device_1,""1757336108"",""38"",""23.4"""
"Raspberry_Device_1,""1757336176"",""38"",""23.4"""
"Raspberry_Device_1,""1757336266"",""38"",""23.4"""
"Raspberry_Device_1,""1757336350"",""38"",""23.4"""
"Raspberry_Device_1,""1757336418"",""38"",""23.4"""
"Raspberry_Device_1,""1757336513"",""38"",""23.4"""
"Raspberry_Device_1,""1757336586"",""38"",""23.4"""
"Raspberry_Device_1,""1757336660"",""38"",""23.4"""
"Raspberry_Device_1,""1757336744"",""38"",""23.4"""
"Raspberry_Device_1,""1757339078"",""35"",""23.4"""
"Raspberry_Device_1,""1757339146"",""35"",""23.4"""
"Raspberry_Device_1,""1757339215"",""35"",""23.4"""
"Raspberry_Device_1,""1757339304"",""35"",""23.4"""
"Raspberry_Device_1,""1757339388"",""35.83"",""23.4"""
"Raspberry_Device_1,""1757344992"",""38"",""23.4"""
"Raspberry_Device_1,""1757345077"",""38"",""23.4"""
"Raspberry_Device_1,""1757345161"",""38"",""23.4"""
"Raspberry_Device_1,""1757345255"",""38"",""23.4"""
"Raspberry_Device_1,""1757345339"",""38"",""23.4"""
"Raspberry_Device_1,""1757345408"",""38"",""23.4"""
"Raspberry_Device_1,""1757345476"",""38"",""23.4"""
"Raspberry_Device_1,""1757345550"",""38"",""23.4"""
"Raspberry_Device_1,""1757345644"",""38"",""23.4"""
"Raspberry_Device_1,""1757345728"",""38"",""23.4"""
"Raspberry_Device_1,""1757346859"",""38"",""23.4"""
"Raspberry_Device_1,""1757346938"",""38"",""23.4"""
"Raspberry_Device_1,""1757347016"",""38"",""23.4"""
"Raspberry_Device_1,""1757347090"",""38"",""23.4"""
"Raspberry_Device_1,""1757347164"",""38"",""23.4"""
"Raspberry_Device_1,""1757347253"",""38"",""23.4"""
"Raspberry_Device_1,""1757347342"",""38"",""23.4"""
"Raspberry_Device_1,""1757347411"",""38"",""23.4"""
"Raspberry_Device_1,""1757347500"",""38"",""23.4"""
